,Overall rank,Score,Country,GDP (Billions),Social Score,Basic Human Needs,Foundation of Wellbeing,Opportunity,Life Expectancy,language,population,lat,lng,independent,landlocked,cca3,GDP per Capita,Region
32,34,6.262,Singapore,378.645,85.46,97.66,86.13,72.58,83.934,"{'zho': 'Chinese', 'eng': 'English', 'msa': 'Malay', 'tam': 'Tamil'}",5685807,1.36666666,103.8,True,False,SGP,6.659476834159161e-05,Southeastern Asia
33,35,6.253,El Salvador,27.665,67.25,77.62,68.87,55.26,73.846,{'spa': 'Spanish'},6486201,13.83333333,-88.91666666,True,False,SLV,4.265208555824897e-06,Latin America and Caribbean
34,36,6.223,Italy,2120.232,87.36,93.19,88.59,80.3,83.856,{'ita': 'Italian'},59554023,42.83333333,12.83333333,True,False,ITA,3.56018265970042e-05,Western Europe
35,37,6.199,Bahrain,39.104,66.6,86.34,69.6,43.86,77.604,{'ara': 'Arabic'},1701583,26.0,50.55,True,False,BHR,2.2980953617895807e-05,Middle East and Northern Africa
36,40,6.182,Poland,655.332,84.32,94.44,83.67,74.86,79.108,{'pol': 'Polish'},37950802,52.0,20.0,True,False,POL,1.7267935470770816e-05,Central and Eastern Europe
37,41,6.174,Uzbekistan,65.503,64.98,80.35,64.65,49.94,71.938,"{'rus': 'Russian', 'uzb': 'Uzbek'}",34232050,41.0,64.0,True,True,UZB,1.913499191547103e-06,Central and Eastern Europe
38,42,6.149,Lithuania,62.635,83.97,90.83,83.77,77.3,76.258,{'lit': 'Lithuanian'},2794700,56.0,24.0,True,False,LTU,2.24120656957813e-05,Central and Eastern Europe
39,43,6.125,Colombia,300.791,74.0,83.31,80.09,58.59,77.7,{'spa': 'Spanish'},50882884,4.0,-72.0,True,False,COL,5.9114377243239595e-06,Latin America and Caribbean
40,44,6.118,Slovenia,60.89,87.71,95.62,88.85,78.64,81.696,{'slv': 'Slovene'},2100126,46.11666666,14.81666666,True,False,SVN,2.8993498485328975e-05,Central and Eastern Europe
41,45,6.105,Nicaragua,13.397,64.02,75.09,72.83,44.13,75.014,{'spa': 'Spanish'},6624554,13.0,-85.0,True,False,NIC,2.0223248236786958e-06,Latin America and Caribbean
42,47,6.086,Argentina,455.172,80.66,87.73,80.05,74.2,77.026,"{'grn': 'Guaraní', 'spa': 'Spanish'}",45376763,-34.0,-64.0,True,False,ARG,1.0030949100534122e-05,Latin America and Caribbean
43,48,6.07,Romania,287.279,78.35,89.46,78.04,67.54,76.366,{'ron': 'Romanian'},19286123,46.0,25.0,True,False,ROU,1.489563247107778e-05,Central and Eastern Europe
44,49,6.046,Cyprus,26.546,86.64,93.4,89.66,76.84,81.358,"{'ell': 'Greek', 'tur': 'Turkish'}",1207361,35.0,33.0,True,False,CYP,2.198679599556388e-05,Western Europe
45,50,6.028,Ecuador,104.483,75.45,84.35,79.45,62.55,77.508,{'spa': 'Spanish'},17643060,-2.0,-77.5,True,False,ECU,5.922045268791242e-06,Latin America and Caribbean
46,51,6.021,Kuwait,132.266,77.47,90.41,81.67,60.33,75.746,{'ara': 'Arabic'},4270563,29.5,45.75,True,False,KWT,3.0971560424234463e-05,Middle East and Northern Africa
47,52,6.008,Thailand,546.223,70.72,80.89,75.44,55.83,77.558,{'tha': 'Thai'},69799978,15.0,100.0,True,False,THA,7.825546879112196e-06,Southeastern Asia
48,53,5.94,Latvia,37.199,83.19,90.74,83.83,74.99,75.594,{'lav': 'Latvian'},1901548,57.0,25.0,True,False,LVA,1.9562482777189953e-05,Central and Eastern Europe
49,55,5.893,Estonia,36.039,87.26,93.08,91.5,77.21,79.036,{'est': 'Estonian'},1331057,59.0,26.0,True,False,EST,2.707547460401771e-05,Central and Eastern Europe
50,56,5.89,Jamaica,14.857,74.75,79.34,74.44,70.47,74.77,"{'eng': 'English', 'jam': 'Jamaican Patois'}",2961161,18.25,-77.5,True,False,JAM,5.017288826916199e-06,Latin America and Caribbean
51,57,5.888,Mauritius,10.998,78.96,90.9,76.52,69.47,75.36,"{'eng': 'English', 'fra': 'French', 'mfe': 'Mauritian Creole'}",1265740,-20.28333333,57.55,True,False,MUS,8.688988259832193e-06,Sub-Saharan Africa
52,58,5.886,Japan,5103.11,90.14,97.78,92.15,80.5,84.91,{'jpn': 'Japanese'},125836021,36.0,138.0,True,False,JPN,4.055365037329017e-05,Eastern Asia
53,59,5.86,Honduras,26.325,62.41,73.72,66.38,47.12,75.694,{'spa': 'Spanish'},9904608,15.0,-86.5,True,False,HND,2.65785379895903e-06,Latin America and Caribbean
54,60,5.809,Kazakhstan,194.024,72.66,85.6,76.13,56.24,73.756,"{'kaz': 'Kazakh', 'rus': 'Russian'}",18754440,48.0,68.0,True,True,KAZ,1.0345496853011874e-05,Central and Eastern Europe
55,61,5.779,Bolivia,38.547,69.23,82.26,69.2,56.24,72.096,"{'aym': 'Aymara', 'grn': 'Guaraní', 'que': 'Quechua', 'spa': 'Spanish'}",11673029,-17.0,-65.0,True,True,BOL,3.302227725126015e-06,Latin America and Caribbean
56,62,5.758,Hungary,180.959,81.02,92.1,80.76,70.19,77.174,{'hun': 'Hungarian'},9749763,47.0,20.0,True,True,HUN,1.856034859514021e-05,Central and Eastern Europe
57,63,5.743,Paraguay,36.973,72.48,83.87,75.5,58.09,74.488,"{'grn': 'Guaraní', 'spa': 'Spanish'}",7132530,-23.0,-58.0,True,True,PRY,5.183714614589774e-06,Latin America and Caribbean
58,65,5.697,Peru,225.858,74.22,82.46,78.5,61.69,77.234,"{'aym': 'Aymara', 'que': 'Quechua', 'spa': 'Spanish'}",32971846,-10.0,-76.0,True,False,PER,6.850025928181273e-06,Latin America and Caribbean
59,66,5.693,Portugal,251.709,87.79,95.69,88.12,79.57,82.47,{'por': 'Portuguese'},10305564,39.5,-8.0,True,False,PRT,2.442457297824748e-05,Western Europe
60,67,5.653,Pakistan,263.7,49.25,59.49,46.88,41.39,67.636,"{'eng': 'English', 'urd': 'Urdu'}",220892331,30.0,70.0,True,False,PAK,1.193794274369806e-06,Southern Asia
61,68,5.648,Russia,1647.568,72.56,84.05,74.18,59.44,72.842,{'rus': 'Russian'},144104080,60.0,100.0,True,False,RUS,1.1433180795436187e-05,Central and Eastern Europe
62,69,5.631,Philippines,385.737,66.62,70.74,71.24,57.87,71.534,"{'eng': 'English', 'fil': 'Filipino'}",109581085,13.0,122.0,True,False,PHL,3.520105682472482e-06,Southeastern Asia
63,70,5.603,Serbia,60.669,75.54,87.53,75.19,63.9,76.33,{'srp': 'Serbian'},6908224,44.0,21.0,True,True,SRB,8.782141401321092e-06,Central and Eastern Europe
64,71,5.529,Moldova,12.396,72.58,83.32,75.42,59.02,72.176,{'ron': 'Moldavian'},2617820,47.0,29.0,True,True,MDA,4.73523771687893e-06,Central and Eastern Europe
65,73,5.523,Montenegro,5.494,74.42,86.18,77.96,59.12,77.242,{'cnr': 'Montenegrin'},621718,42.5,19.3,True,False,MNE,8.836803824241859e-06,Central and Eastern Europe
66,74,5.467,Tajikistan,8.104,56.99,76.81,59.94,34.22,71.562,"{'rus': 'Russian', 'tgk': 'Tajik'}",9537642,39.0,71.0,True,True,TJK,8.496859076908108e-07,Central and Eastern Europe
67,75,5.432,Croatia,63.399,81.92,91.29,84.79,69.69,78.866,{'hrv': 'Croatian'},4047200,45.16666666,15.5,True,False,HRV,1.5664904131251235e-05,Central and Eastern Europe
68,77,5.425,Dominican Republic,89.502,71.05,78.69,74.99,59.48,74.482,{'spa': 'Spanish'},10847904,19.0,-70.66666666,True,False,DOM,8.250626111735502e-06,Latin America and Caribbean
69,79,5.373,Turkey,795.952,68.27,85.2,67.47,52.14,78.222,{'tur': 'Turkish'},84339067,39.0,35.0,True,False,TUR,9.437524368155508e-06,Middle East and Northern Africa
70,80,5.339,Malaysia,371.114,76.96,88.77,80.52,61.59,76.506,"{'eng': 'English', 'msa': 'Malay'}",32365998,2.5,112.5,True,False,MYS,1.1466168909730514e-05,Southeastern Asia
71,81,5.323,Belarus,65.754,77.0,89.8,76.83,64.38,75.058,"{'bel': 'Belarusian', 'rus': 'Russian'}",9398861,53.0,28.0,True,True,BLR,6.99595408422361e-06,Central and Eastern Europe
72,82,5.287,Greece,211.645,85.78,93.78,85.11,78.46,82.636,{'ell': 'Greek'},10715549,39.0,22.0,True,False,GRC,1.9751204534644004e-05,Western Europe
73,83,5.285,Mongolia,14.28,71.07,77.42,71.27,64.52,70.334,{'mon': 'Mongolian'},3278292,46.0,105.0,True,True,MNG,4.355926805787892e-06,Eastern Asia
74,84,5.274,North Macedonia,13.885,73.16,88.15,75.06,56.25,76.128,{'mkd': 'Macedonian'},2077132,41.83333333,22.0,True,True,MKD,6.68469793927396e-06,Western Europe
75,85,5.265,Nigeria,480.482,51.31,50.82,57.47,45.64,55.436,{'eng': 'English'},206139587,10.0,8.0,True,False,NGA,2.330857488329013e-06,Sub-Saharan Africa
